method,n_users,top_n,precision,recall,hit_rate
Genre-based,98,10,0.004081632653061225,0.0006946700687104893,0.030612244897959183
TF-IDF-based,97,10,0.0030927835051546395,0.00017372547230617527,0.030927835051546393
